% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3448	0	9	8	0	16	133	0	1	1	46.1354
3448	0	9	10	0	16	133	0	1	1	72.4241
3448	0	10	2	0	16	133	0	1	1	72.4241
3448	0	10	3	0	16	133	0	1	1	225.623
3448	0	10	6	0	16	133	0	1	1	121.892
3448	0	10	8	0	16	133	0	1	1	30.9944
3448	0	10	10	0	16	133	0	1	1	46.1354
3456	0	6	2	0	16	133	1	0	1	1266.5
3456	0	6	3	0	16	133	1	0	1	51752
3456	0	6	6	0	16	133	1	0	1	4980.76
3456	0	6	8	0	16	133	1	0	1	225.623
3456	0	6	10	0	16	133	1	0	1	479.364
3456	0	7	2	0	16	133	1	0	1	479.364
3456	0	7	3	0	16	133	1	0	1	4980.76
3456	0	7	6	0	16	133	1	0	1	1266.5
3456	0	7	8	0	16	133	1	0	1	121.892
3456	0	7	10	0	16	133	1	0	1	225.623
3456	0	8	2	0	16	133	1	0	1	225.623
3456	0	8	3	0	16	133	1	0	1	1266.5
3456	0	8	6	0	16	133	1	0	1	479.364
3456	0	8	8	0	16	133	1	0	1	72.4241
3456	0	8	10	0	16	133	1	0	1	121.892
3456	0	9	2	0	16	133	1	0	1	121.892
3456	0	9	3	0	16	133	1	0	1	479.364
3456	0	9	6	0	16	133	1	0	1	225.623
3456	0	9	8	0	16	133	1	0	1	46.1354
3456	0	9	10	0	16	133	1	0	1	72.4241
3456	0	10	2	0	16	133	1	0	1	72.4241
3456	0	10	3	0	16	133	1	0	1	225.623
3456	0	10	6	0	16	133	1	0	1	121.892
3456	0	10	8	0	16	133	1	0	1	30.9944
3456	0	10	10	0	16	133	1	0	1	46.1354
3464	0	6	2	0	16	133	2	0	1	1266.5
3464	0	6	3	0	16	133	2	0	1	51752
3464	0	6	6	0	16	133	2	0	1	4980.76
3464	0	6	8	0	16	133	2	0	1	225.623
3464	0	6	10	0	16	133	2	0	1	479.364
3464	0	7	2	0	16	133	2	0	1	479.364
3464	0	7	3	0	16	133	2	0	1	4980.76
3464	0	7	6	0	16	133	2	0	1	1266.5
3464	0	7	8	0	16	133	2	0	1	121.892
3464	0	7	10	0	16	133	2	0	1	225.623
3464	0	8	2	0	16	133	2	0	1	225.623
3464	0	8	3	0	16	133	2	0	1	1266.5
3464	0	8	6	0	16	133	2	0	1	479.364
3464	0	8	8	0	16	133	2	0	1	72.4241
3464	0	8	10	0	16	133	2	0	1	121.892
3464	0	9	2	0	16	133	2	0	1	121.892
3464	0	9	3	0	16	133	2	0	1	479.364
3464	0	9	6	0	16	133	2	0	1	225.623
3464	0	9	8	0	16	133	2	0	1	46.1354
3464	0	9	10	0	16	133	2	0	1	72.4241
3464	0	10	2	0	16	133	2	0	1	72.4241
3464	0	10	3	0	16	133	2	0	1	225.623
3464	0	10	6	0	16	133	2	0	1	121.892
3464	0	10	8	0	16	133	2	0	1	30.9944
3464	0	10	10	0	16	133	2	0	1	46.1354
3472	0	6	2	0	16	133	3	0	1	1266.5
3472	0	6	3	0	16	133	3	0	1	51752
3472	0	6	6	0	16	133	3	0	1	4980.76
3472	0	6	8	0	16	133	3	0	1	225.623
3472	0	6	10	0	16	133	3	0	1	479.364
3472	0	7	2	0	16	133	3	0	1	479.364
3472	0	7	3	0	16	133	3	0	1	4980.76
3472	0	7	6	0	16	133	3	0	1	1266.5
3472	0	7	8	0	16	133	3	0	1	121.892
3472	0	7	10	0	16	133	3	0	1	225.623
3472	0	8	2	0	16	133	3	0	1	225.623
3472	0	8	3	0	16	133	3	0	1	1266.5
3472	0	8	6	0	16	133	3	0	1	479.364
3472	0	8	8	0	16	133	3	0	1	72.4241
3472	0	8	10	0	16	133	3	0	1	121.892
3472	0	9	2	0	16	133	3	0	1	121.892
3472	0	9	3	0	16	133	3	0	1	479.364
3472	0	9	6	0	16	133	3	0	1	225.623
3472	0	9	8	0	16	133	3	0	1	46.1354
